parent recs=224175  student recs=224175
common (layer,token) pairs = 224175

layer  A(avail)  O(overlap)    R=O/A      L1
    3    0.4706      0.4706   1.0000  0.9744
    4    0.4263      0.4261   0.9995  0.9378
    5    0.4385      0.4371   0.9969  0.9796
    6    0.4207      0.4188   0.9954  1.0470
    7    0.4096      0.4065   0.9923  1.0339
    8    0.4601      0.4529   0.9843  0.9979
    9    0.4649      0.4540   0.9766  1.0087
   10    0.5059      0.4855   0.9597  0.9434
   11    0.4800      0.4510   0.9397  1.0288
   12    0.4875      0.4534   0.9300  1.0165
   13    0.4827      0.4620   0.9572  0.9932
   14    0.4623      0.4391   0.9498  1.0398
   15    0.5299      0.4908   0.9262  0.9489
   16    0.4726      0.4334   0.9172  1.0606
   17    0.5545      0.4927   0.8886  0.9308
   18    0.5523      0.4922   0.8912  0.9269
   19    0.6057      0.5206   0.8594  0.8779
   20    0.6688      0.5553   0.8303  0.8093
   21    0.6042      0.5149   0.8523  0.8875
   22    0.5810      0.5194   0.8939  0.8473
   23    0.5100      0.4642   0.9102  0.9662
   24    0.4943      0.4630   0.9366  0.9394
   25    0.4719      0.4434   0.9396  0.9933
   26    0.4693      0.4378   0.9329  1.0047
   27    0.4934      0.4605   0.9333  0.9595
   28    0.5022      0.4627   0.9213  0.9968
   29    0.5048      0.4559   0.9032  1.0137
   30    0.5355      0.4663   0.8708  1.0092
   31    0.5834      0.5047   0.8652  0.9579
   32    0.5966      0.5101   0.8550  0.9122
   33    0.5854      0.4924   0.8411  0.9507
   34    0.5643      0.4659   0.8256  1.0113
   35    0.5455      0.4488   0.8227  1.0678
   36    0.5588      0.4468   0.7995  1.0546
   37    0.5835      0.4599   0.7881  1.0489
   38    0.5806      0.4691   0.8080  0.9964
   39    0.5818      0.4699   0.8076  1.0090
   40    0.5634      0.4461   0.7917  1.0636
   41    0.5717      0.4523   0.7912  1.0350
   42    0.5673      0.4467   0.7874  1.0526
   43    0.5693      0.4463   0.7839  1.0702
   44    0.5486      0.4310   0.7856  1.0759
   45    0.5187      0.4148   0.7996  1.0778
   46    0.5537      0.4353   0.7862  1.0622
   47    0.5266      0.4126   0.7835  1.1100
   48    0.5537      0.4369   0.7890  1.0389
   49    0.5786      0.4594   0.7941  1.0056
   50    0.5775      0.4530   0.7845  0.9872
   51    0.5507      0.4235   0.7690  1.0732
   52    0.5997      0.4665   0.7780  0.9645
   53    0.5455      0.4307   0.7896  1.0534
   54    0.5652      0.4391   0.7769  1.0250
   55    0.5814      0.4580   0.7877  0.9835
   56    0.5647      0.4310   0.7633  1.0164
   57    0.5925      0.4545   0.7671  0.9803
   58    0.5822      0.4508   0.7742  0.9582
   59    0.5987      0.4464   0.7455  0.9742
   60    0.6088      0.4529   0.7440  0.9660
   61    0.5538      0.4287   0.7741  1.0179
   62    0.5598      0.4220   0.7538  1.0340
   63    0.5607      0.4279   0.7632  1.0158
   64    0.5653      0.4199   0.7427  1.0671
   65    0.5518      0.4169   0.7556  1.0534
   66    0.5861      0.4358   0.7435  1.0024
   67    0.5844      0.4407   0.7541  0.9918
   68    0.5542      0.4151   0.7491  1.0359
   69    0.5733      0.4210   0.7345  1.0686
   70    0.5701      0.4335   0.7604  1.0190
   71    0.5869      0.4308   0.7340  1.0439
   72    0.5918      0.4378   0.7399  1.0520
   73    0.5638      0.4338   0.7695  1.0299
   74    0.6045      0.4669   0.7723  0.9875
   75    0.5759      0.4481   0.7780  1.0367
   76    0.5880      0.4755   0.8087  0.9755
   77    0.5683      0.4722   0.8309  0.9642

MEAN   A=0.5453  O=0.4535  R=0.8378  L1=1.0020
early blk3-27   A=0.5007  O=0.4658  R=0.9357  L1=0.9661
mid blk28-52    A=0.5601  O=0.4551  R=0.8133  L1=1.0258
deep blk53-77   A=0.5751  O=0.4396  R=0.7645  L1=1.0141

R slope vs depth: -0.003374 per layer
R at blk.77 = 0.8309   [DECISION: <0.90 proceed to P0 | >0.97 reallocate to G5]
