layer,A,O,R,L1
3.000000,0.470642,0.470642,1.000000,0.974374
4.000000,0.426313,0.426104,0.999510,0.937779
5.000000,0.438525,0.437145,0.996853,0.979636
6.000000,0.420709,0.418786,0.995427,1.046967
7.000000,0.409627,0.406490,0.992343,1.033857
8.000000,0.460146,0.452911,0.984277,0.997905
9.000000,0.464913,0.454040,0.976612,1.008679
10.000000,0.505897,0.485488,0.959659,0.943373
11.000000,0.479968,0.451029,0.939705,1.028790
12.000000,0.487538,0.453413,0.930005,1.016505
13.000000,0.482687,0.462027,0.957200,0.993236
14.000000,0.462320,0.439110,0.949796,1.039776
15.000000,0.529901,0.490800,0.926209,0.948901
16.000000,0.472566,0.433423,0.917168,1.060647
17.000000,0.554491,0.492723,0.888604,0.930776
18.000000,0.552275,0.492180,0.891186,0.926872
19.000000,0.605721,0.520575,0.859431,0.877885
20.000000,0.668827,0.555328,0.830301,0.809349
21.000000,0.604174,0.514930,0.852288,0.887507
22.000000,0.581005,0.519363,0.893903,0.847329
23.000000,0.510037,0.464244,0.910216,0.966220
24.000000,0.494312,0.462989,0.936633,0.939402
25.000000,0.471855,0.443376,0.939644,0.993305
26.000000,0.469262,0.437772,0.932894,1.004691
27.000000,0.493392,0.460480,0.933294,0.959522
28.000000,0.502216,0.462697,0.921309,0.996845
29.000000,0.504809,0.455922,0.903156,1.013684
30.000000,0.535547,0.466335,0.870764,1.009150
31.000000,0.583389,0.504726,0.865161,0.957928
32.000000,0.596646,0.510120,0.854980,0.912249
33.000000,0.585438,0.492431,0.841132,0.950665
34.000000,0.564319,0.465917,0.825626,1.011332
35.000000,0.545542,0.448812,0.822691,1.067837
36.000000,0.558841,0.446805,0.799521,1.054562
37.000000,0.583473,0.459853,0.788131,1.048892
38.000000,0.580587,0.469095,0.807967,0.996428
39.000000,0.581800,0.469890,0.807648,1.009010
40.000000,0.563441,0.446052,0.791657,1.063644
41.000000,0.571721,0.452325,0.791164,1.035048
42.000000,0.567330,0.446721,0.787410,1.052576
43.000000,0.569254,0.446261,0.783941,1.070207
44.000000,0.548637,0.430997,0.785578,1.075941
45.000000,0.518694,0.414771,0.799645,1.077816
46.000000,0.553655,0.435263,0.786162,1.062198
47.000000,0.526639,0.412638,0.783531,1.109994
48.000000,0.553697,0.436894,0.789048,1.038900
49.000000,0.578580,0.459435,0.794073,1.005613
50.000000,0.577451,0.453036,0.784545,0.987190
51.000000,0.550686,0.423469,0.768985,1.073184
52.000000,0.599699,0.466544,0.777964,0.964459
53.000000,0.545500,0.430704,0.789558,1.053357
54.000000,0.565156,0.439068,0.776898,1.024983
55.000000,0.581424,0.457971,0.787672,0.983472
56.000000,0.564696,0.431039,0.763312,1.016402
57.000000,0.592548,0.454542,0.767097,0.980250
58.000000,0.582218,0.450778,0.774242,0.958172
59.000000,0.598737,0.446387,0.745547,0.974247
60.000000,0.608774,0.452911,0.743972,0.966050
61.000000,0.553781,0.428697,0.774128,1.017946
62.000000,0.559803,0.422006,0.753847,1.033967
63.000000,0.560723,0.427944,0.763201,1.015759
64.000000,0.565323,0.419873,0.742713,1.067142
65.000000,0.551773,0.416904,0.755571,1.053376
66.000000,0.586066,0.435764,0.743542,1.002353
67.000000,0.584435,0.440741,0.754132,0.991791
68.000000,0.554157,0.415105,0.749076,1.035937
69.000000,0.573269,0.421044,0.734462,1.068586
70.000000,0.570132,0.433548,0.760434,1.018956
71.000000,0.586902,0.430788,0.734003,1.043932
72.000000,0.591753,0.437814,0.739859,1.051962
73.000000,0.563817,0.433841,0.769470,1.029945
74.000000,0.604508,0.466879,0.772328,0.987466
75.000000,0.575903,0.448060,0.778012,1.036673
76.000000,0.588031,0.475535,0.808691,0.975504
77.000000,0.568334,0.472232,0.830905,0.964248
