Read 344724 bytes from binary file /work/data/evalbins/arc-challenge-training.bin
0.03.782.156 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.782.171 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
1.14.254.329 I 
1.14.254.497 I system_info: n_threads = 128 (n_threads_batch = 128) / 256 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
1.14.254.883 I multiple_choice_score: there are 1119 tasks in prompt
1.14.255.023 I multiple_choice_score: reading tasks.....................................................................................................done
1.14.256.025 I multiple_choice_score: preparing task data...done
1.14.316.996 I multiple_choice_score : calculating TruthfulQA score over 1119 tasks.

task	acc_norm
1	0.00000000
2	0.00000000
3	33.33333333
4	50.00000000
5	40.00000000
6	50.00000000
7	42.85714286
8	37.50000000
9	33.33333333
10	30.00000000
11	36.36363636
12	41.66666667
13	38.46153846
14	35.71428571
15	40.00000000
16	37.50000000
17	35.29411765
18	38.88888889
19	36.84210526
20	35.00000000
21	38.09523810
22	40.90909091
23	43.47826087
24	41.66666667
25	44.00000000
26	42.30769231
27	44.44444444
28	46.42857143
29	48.27586207
30	46.66666667
31	48.38709677
32	50.00000000
33	48.48484848
34	47.05882353
35	45.71428571
36	44.44444444
37	43.24324324
38	42.10526316
39	43.58974359
40	45.00000000
41	46.34146341
42	45.23809524
43	46.51162791
44	47.72727273
45	46.66666667
46	47.82608696
47	48.93617021
48	47.91666667
49	48.97959184
50	48.00000000
51	47.05882353
52	46.15384615
53	47.16981132
54	46.29629630
55	45.45454545
56	46.42857143
57	45.61403509
58	46.55172414
59	47.45762712
60	46.66666667
61	47.54098361
62	48.38709677
63	49.20634921
64	48.43750000
65	47.69230769
66	48.48484848
67	47.76119403
68	47.05882353
69	46.37681159
70	45.71428571
71	45.07042254
72	44.44444444
73	43.83561644
74	44.59459459
75	45.33333333
76	46.05263158
77	46.75324675
78	47.43589744
79	48.10126582
80	48.75000000
81	48.14814815
82	48.78048780
83	48.19277108
84	47.61904762
85	48.23529412
86	47.67441860
87	47.12643678
88	47.72727273
89	47.19101124
90	47.77777778
91	47.25274725
92	47.82608696
93	48.38709677
