0.01.274.592 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.434.982 I srv    load_model: loading model '/work/GLM-5.2-GGUF/REAP50/GLM-5.2-REAP50-Q3_K_M-00001-of-00005.gguf'
0.03.384.478 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.384.490 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
2.02.682.621 I srv    load_model: initializing, n_slots = 8, n_ctx_slot = 2048, kv_unified = 'false'
2.02.708.117 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
2.02.708.170 I srv  llama_server: model loaded
2.02.708.177 I srv  llama_server: listening on http://127.0.0.1:8080
2.30.630.013 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
2.30.630.144 I slot launch_slot_: id  7 | task 0 | processing task, is_child = 0
2.30.630.151 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = -1
2.30.630.171 I slot launch_slot_: id  6 | task 1 | processing task, is_child = 0
2.31.392.095 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = -1
2.31.392.135 I slot launch_slot_: id  5 | task 3 | processing task, is_child = 0
2.31.392.138 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = -1
2.31.392.154 I slot launch_slot_: id  4 | task 4 | processing task, is_child = 0
2.31.392.157 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.31.392.169 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
2.31.392.171 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
2.31.392.186 I slot launch_slot_: id  2 | task 6 | processing task, is_child = 0
2.31.392.189 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2.31.392.201 I slot launch_slot_: id  1 | task 8 | processing task, is_child = 0
2.31.392.206 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.31.392.218 I slot launch_slot_: id  0 | task 7 | processing task, is_child = 0
